OID_,PEDON_ID,DRAINAGE,PM1_MD_DEP,PM1_PHYS,PM1_LIT_MD,PM1_CHEM,PM1_WEATHR,PM2_MD_DEP,PM2_PHYS,PM2_LIT_MD,PM2_CHEM,PM2_WEATHR,HUMUS_FORM,TABLE_KIND,TABLE_DPTH,ROCK_DPTH,CACO3_DPTH
4141,0140469,poorly drained,marine, , , , , , , , , , , , , , 
4142,0140470,poorly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4143,0140471,poorly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4144,0140472,imperfectly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4145,0140473,imperfectly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4146,0140474,imperfectly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4147,0140475,imperfectly drained,lacustrine and glacio-lacustrine, , , , ,lacustrine and glacio-lacustrine, , , , , , , , , 
4148,0140476,poorly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4149,0140477,poorly drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
4150,0140478,imperfectly drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
4151,0140479,rapidly drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
4152,0140480,well drained,morainal till, , , , , , , , , , , , , ,0
4153,0140481,poorly drained,marine, , , , , , , , , , , , , , 
4154,0140482,poorly drained,marine, , , , , , , , , , , , , , 
4155,0140483,poorly drained,lacustrine and glacio-lacustrine, , , , ,lacustrine and glacio-lacustrine, , , , , , , , , 
4156,0140484,poorly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4157,0140485,imperfectly drained,marine, , , , , , , , , , , , , , 
4158,0140486,imperfectly drained,marine, , , , , , , , , , , , , , 
4159,0140487,well drained,marine, , , , , , , , , , , , , , 
4160,0140488,poorly drained,marine, , , , , , , , , , , , , , 
4161,0140489,poorly drained,marine, , , , , , , , , , , , , , 
4162,0140490,poorly drained,marine, , , , , , , , , , , , , , 
4163,0140491,well drained,morainal till, , , , , , , , , , , , , , 
4164,0140492,well drained,morainal till, , , , , , , , , , , , , ,23
4165,0140493,well drained,morainal till, , , , , , , , , , , , , , 
4166,0140494,well drained,morainal till, , , , , , , , , , , , , , 
4167,0140497,poorly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4168,0140498,imperfectly drained,morainal till, , , , , , , , , , , , , , 
4169,0140499,imperfectly drained,morainal till, , , , , , , , , , , , , ,50
4170,0140500,imperfectly drained,morainal till, , , , , , , , , , , , , , 
4171,0140501,poorly drained,marine, , , , , , , , , , , , , , 
4172,0140502,poorly drained,marine, , , , , , , , , , , , , , 
4173,0140503,poorly drained,marine, , , , , , , , , , , , , , 
4174,0140504,well drained,morainal till, , , , , , , , , , , , , , 
4175,0140505,poorly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4176,0140506,well drained,morainal till, , , , , , , , , , , , , , 
4177,0140507,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
4178,0140508,well drained,morainal till, , , , , , , , , , , , , , 
4179,0140509,well drained,morainal till, , , , , , , , , , , , , , 
4180,0140511,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
4181,0140512,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
4182,0140513,imperfectly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4183,0140514,well drained,morainal till, , , , , , , , , , , , , , 
4184,0140515,well drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4185,0140516,poorly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4186,0140517,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
