OID_,PEDON_ID,LAYER_ID,U_DEPTH,L_DEPTH,CARB_ORG,CACO3_EQ,PH_H2O,PH_CACL2,EXCH_AL,EXCH_CA,EXCH_H,EXCH_K,EXCH_MG,EXCH_NA,EXCH_PCHRG,CEC,BASE_SATN,X_ACIDITY,NO3,P_INORG,P_ORG,N_TOTAL,AVAIL_K,CALCITE,DOLOMITE
183,0281063,7,76,91.5,0.37, , ,8.2, , , , , , , , , , , , , ,0.48, , , 
184,0281071,4,76,100,0.24, , ,8.2, , , , , , , , , , , , , ,0.1, , , 
185,0281075,3,28,100,0.29, , ,8.2, , , , , , , , , , , , , ,0.04, , , 
186,0281076,1,0,25.5,2.6, , ,8.2, , , , , , , , , , , , , ,0.19, , , 
187,0281076,2,25.5,45.5,0.74, , ,8.2, , , , , , , , , , , , , ,0.19, , , 
188,0281094,3,30.5,53.5,1.21, , ,8.2, , , , , , , , , , , , , ,0.85, , , 
189,0281110,5,51,100,1.43, , ,8.2, , , , , , , , , , , , , ,0.84, , , 
190,0281115,4,10,30.5,1.83, , ,8.2, , , , , , , , , , , , , ,0.66, , , 
191,0281129,3,66,100,0.11, , ,8.2, , , , , , , , , , , , , ,0.31, , , 
192,0281134,6,91.5,100,0.18, , ,8.2, , , , , , , , , , , , , ,0.84, , , 
193,0281136,4,30.5,51,0.19, , ,8.2, , , ,0.7, ,4.2, , , , , , , ,0.6, , , 
194,0281136,5,51,100,0.27, , ,8.2, , , , , , , , , , , , , ,0.6, , , 
195,0281140,2,23,40.5,1.58, , ,8.2, , , , , , , , , , , , , ,0.46, , , 
196,0281153,7,76,99, , , ,8.2, ,20.2, ,0.3,9,0.4, , , , , , , ,1.96, , , 
197,0281267,4,15,23,0.6, , ,8.2, , , , , , , , , , , , , ,1.53, , , 
198,0281271,5,61,100, , , ,8.2, , , , , , , , , , , , , ,2.05, , , 
199,0281274,3,20.5,28,0.7, , ,8.2, , , , , , , , , , , , , ,0.71, , , 
200,0281274,4,28,91.5,0, , ,8.2, , , , , , , , , , , , , ,0.71, , , 
201,0281274,5,91.5,100,0, , ,8.2, , , , , , , , , , , , , ,0.71, , , 
202,0281275,4,51,86.5,0.5, , ,8.2, , , , , , , , , , , , , ,1.12, , , 
203,0281275,5,86.5,100,0.3, , ,8.2, , , , , , , , , , , , , ,1.12, , , 
204,0281302,4,30.5,100,0.17, , ,8.2, , , , , , , , , , , , , ,1.5, , , 
205,0281445,8,46,100, , , ,8.2, , , , , , , , , , , , , ,0.45, , , 
