OID_,PROVINCE,DATASET_ID,PEDON_ID,CAL_YEAR,LOCALITY,CONF_METRS,ELEVATION,EXTENT,PURPOSE,CSSC_ORDER,CSSC_GTGRP,CSSC_SBGRP,CSSC_NAME,CSSC_CODE,TX_PHASE_1,TX_FIT,TX_FACTOR1,TX_FACTOR2,LANDUSE,DD_LAT_N,DD_LONG_N
4343,newfoundland,010,0106233,1981, ,15, ,very limited,semi-detailed,podzol,ferro-humic, ,ptd, ,Orthic,modal, , ,productive,49.2857285,-55.3840790
4344,newfoundland,010,0106234,1981, ,15, ,very limited,semi-detailed,podzol,humo-ferric, ,wgp, ,Gleyed,modal, , ,unproductive,49.3248405,-55.3889885
4345,newfoundland,010,0106235,1981, ,150, , , ,brunisol,dystric, ,alv, ,Eluviated, , , ,productive,49.4931488,-56.1609383
4346,newfoundland,010,0106236,1981, ,150, , , ,brunisol,dystric, ,ptd, ,Eluviated, , , , ,49.4941483,-56.1747284
4347,newfoundland,010,0106237,1981, ,150, , , ,podzol,ferro-humic, ,ptd, ,Orthic, , , , ,49.5895996,-56.1897202
4348,newfoundland,010,0106238,1981, ,150, , , ,podzol,humo-ferric, ,ptd, ,Orthic, , , , ,49.4041214,-56.1638412
4349,newfoundland,010,0106239,1981, ,150, , , ,podzol,humo-ferric, ,ptd, ,Gleyed, , , , ,49.5118103,-56.1302299
4350,newfoundland,010,0106240,1981, ,150, , , ,podzol,humo-ferric, ,shd, ,Orthic, , , , ,49.4646301,-56.1986885
4351,newfoundland,010,0106241,1981, ,150, , , ,brunisol,dystric, ,ptd, ,Duric, , , , ,49.4789505,-56.1887894
4352,newfoundland,010,0106242,1981, ,150, , , ,regosol,humic, ,ptd, ,Orthic, , , , ,49.4816093,-56.1832199
4353,newfoundland,010,0106243,1981, ,150, , , ,regosol,humic, ,ptd, ,Orthic, , , , ,49.4815712,-56.1777000
4354,newfoundland,010,0106244,1981, ,150, , , ,brunisol,sombric, ,knp, ,Orthic, , , ,cropland,49.5841904,-56.1870384
4355,newfoundland,010,0106245,1981, ,150, , , ,organic,fibrisol, ,dwp, ,Typic, , , ,bog,48.5173912,-54.1552696
4356,newfoundland,010,0106246,1981, ,150, , , ,organic,fibrisol, ,dwp, ,Mesic, , , ,bog,48.5106010,-54.1719017
4357,newfoundland,010,0106247,1981, ,150, , ,detailed,organic,fibrisol, ,dwp, ,Typic, , , ,bog,48.4986496,-54.1982918
4358,newfoundland,010,0106248,1981, ,150, , ,detailed,organic,fibrisol, ,mpt, ,Terric Humic, , , ,fen,48.4910011,-54.2542114
4359,newfoundland,010,0106249,1981, ,150, , , ,organic,mesisol, ,dwp, ,Terric Humic, , , ,bog,48.4972191,-54.2511711
4360,newfoundland,010,0106250,1981, ,150, , ,detailed,organic,fibrisol, ,dwp, ,Typic, , , ,bog,48.4977303,-54.2349014
4361,newfoundland,010,0106251,1981, ,150, , , ,organic,humisol, ,dwp, ,Terric, , , ,bog,48.5030289,-54.2305412
4362,yukon territories,012,0126897,1981, ,152,1226, ,reconnaisance,cryosol,static, , , ,Orthic, , , , ,62.2314110,-130.5986938
4363,yukon territories,012,0126923,1981, ,17,1533, ,reconnaisance,brunisol,eutric, , , ,Eluviated, , , , ,63.1358185,-131.5610046
4364,yukon territories,012,0126939,1981, ,62, , ,reconnaisance,brunisol,dystric, , , ,Eluviated, , , , ,63.2665291,-131.8019562
4365,yukon territories,012,0127037,1981, ,152,1022, ,reconnaisance,brunisol,eutric, , , ,Orthic, , , , ,63.0974808,-130.7748718
4366,yukon territories,012,0127038,1981, ,152,1022, ,reconnaisance,brunisol,dystric, , , ,Eluviated, , , , ,63.0970001,-130.8124847
4367,yukon territories,012,0127039,1981, ,152,1301, ,reconnaisance,brunisol,dystric, , , ,Eluviated, , , , ,63.0853004,-131.6754456
4368,yukon territories,012,0127041,1981, ,152,1450, ,reconnaisance,brunisol,dystric, , , ,Eluviated, , , , ,63.0705414,-131.4127045
4369,yukon territories,012,0127042,1981, ,152,1520, ,reconnaisance,brunisol,dystric, , , ,Orthic, , , , ,63.0673790,-131.4658966
4370,yukon territories,012,0127045,1981, ,152,1260, ,reconnaisance,brunisol,dystric, , , ,Orthic, , , , ,63.0622711,-131.4753571
4371,yukon territories,012,0127046,1981, ,152,1460, ,reconnaisance,brunisol,dystric, , , ,Eluviated, , , , ,63.0848808,-130.8335266
4372,yukon territories,012,0127047,1981, ,152,473, ,reconnaisance,brunisol,dystric, , , ,Eluviated, , , , ,63.0863609,-130.8157959
4373,yukon territories,012,0127055,1981, ,152,954, ,reconnaisance,cryosol,organic, , , ,Fibric, , , , ,63.0747604,-131.6051483
4374,yukon territories,012,0127064,1981, ,17,1533, ,reconnaisance,brunisol,dystric, ,a, ,Orthic, , , , ,63.1170387,-130.1376953
4375,yukon territories,012,0127071,1981, ,152,1107, ,reconnaisance,cryosol,static, ,a, ,Regosolic, , , , ,63.1549606,-130.6989746
4376,yukon territories,012,0127093,1981, ,152,1100, ,reconnaisance,regosol,regosol, , , ,Orthic, , , , ,62.8113213,-131.0225067
4377,yukon territories,012,0127096,1981, ,152,960, ,reconnaisance,regosol,regosol, , , ,Orthic, , , , ,62.5734406,-131.3080750
